,Name,contract_expiration_date,market_value_in_eur,current_club_domestic_competition_id,date_of_birth
0,James Milner,2024-06-30 00:00:00,1000000.0,GB1,1986-01-04
1,Boy Waterman,2024-06-30 00:00:00,75000.0,NL1,1984-01-24
2,Anastasios Tsokanis,2025-06-30 00:00:00,450000.0,GR1,1991-05-02
3,Jonas Hofmann,2027-06-30 00:00:00,13000000.0,L1,1992-07-14
4,Pepe Reina,2024-06-30 00:00:00,700000.0,ES1,1982-08-31
5,Philipp Pentke,2024-06-30 00:00:00,300000.0,L1,1985-05-01
6,David Marshall,2024-05-31 00:00:00,100000.0,SC1,1985-03-05
7,Lionel Carole,2024-06-30 00:00:00,850000.0,TR1,1991-04-12
8,Ludovic Butelle,2024-06-30 00:00:00,100000.0,FR1,1983-04-03
9,Daley Blind,2025-06-30 00:00:00,3000000.0,ES1,1990-03-09
10,Craig Gordon,2025-05-31 00:00:00,200000.0,SC1,1982-12-31
11,Dimitrios Sotiriou,2024-06-30 00:00:00,100000.0,GR1,1987-09-13
12,Alessio Cragno,2024-06-30 00:00:00,2500000.0,IT1,1994-06-28
13,Andy Lonergan,2024-06-30 00:00:00,100000.0,GB1,1983-10-19
14,Ashley Young,2024-06-30 00:00:00,600000.0,GB1,1985-07-09
15,Pepe,2024-06-30 00:00:00,800000.0,PO1,1983-02-26
16,Scott Carson,2024-06-30 00:00:00,200000.0,GB1,1985-09-03
17,Marcelo Carné,2024-06-30 00:00:00,350000.0,PO1,1990-02-06
18,Raúl Albiol,2024-06-30 00:00:00,2500000.0,ES1,1985-09-04
19,Igor Akinfeev,2024-06-30 00:00:00,1500000.0,RU1,1986-04-08
20,Jesús Navas,2024-06-30 00:00:00,3000000.0,ES1,1985-11-21
21,Dante,2024-06-30 00:00:00,600000.0,FR1,1983-10-18
22,Casemiro,2026-06-30 00:00:00,30000000.0,GB1,1992-02-23
23,Oleg Ivanov,2024-06-30 00:00:00,100000.0,RU1,1986-08-04
24,Kasper Schmeichel,2024-06-30 00:00:00,1000000.0,BE1,1986-11-05
25,Manuel Neuer,2025-06-30 00:00:00,5000000.0,L1,1986-03-27
26,Gökhan İnler,2024-06-30 00:00:00,100000.0,TR1,1984-06-27
27,Oleksandr Rybka,2024-06-30 00:00:00,100000.0,UKR1,1987-04-10
28,Papu Gómez,2024-06-30 00:00:00,2000000.0,IT1,1988-02-15
29,Andy Considine,2024-05-31 00:00:00,150000.0,SC1,1987-04-01
30,Gianluca Pegolo,2024-06-30 00:00:00,100000.0,IT1,1981-03-25
