,Unnamed: 0_x,Player,Pos,Squad,Rk,Tkl,Tkl.1,TklW,Blocks,Int,Clr,Err,90s,Cmp,Cmp.1,Cmp.2,Cmp.3,Cmp%,Cmp%.1,Cmp%.2,Cmp%.3,Ast,xAG,KP,1/3,PPA,CrsPA,PrgP,SCA,GCA,Sh,SoT%,npxG,Touches,Att,Succ%,PrgC,Mis,Dis,PrgR,G-PK,G-PK.1,Fls,Fld,PKwon,OG,Recov,Won%,Unnamed: 0_y,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
0,10,Francesco Acerbi,DF,Sassuolo,11,51.0,22.0,32.0,42.0,88.0,255.0,1.0,38.0,1391.0,349.0,782.0,249.0,84.3,90.2,89.3,69.2,0,0.7,10.0,106.0,2.0,1.0,141.0,30.0,0.0,15.0,13.3,1.0,2124.0,23.0,73.9,35.0,26.0,9.0,14.0,0,0.0,31,32.0,0.0,1.0,260.0,72.0,23504,US Sassuolo,Francesco Acerbi,30.0,Centre-Back,Lazio,€12.00m,out,Summer,12.0,Serie A,2018,2018/2019
1,11,Afriyie Acquah,MF,Torino,12,8.0,1.0,6.0,8.0,16.0,10.0,2.0,10.6,405.0,204.0,166.0,23.0,84.7,92.7,87.8,57.5,0,0.6,6.0,38.0,2.0,0.0,60.0,17.0,0.0,9.0,33.3,0.4,562.0,24.0,66.7,24.0,13.0,14.0,24.0,1,0.09,17,14.0,0.0,0.0,68.0,41.4,23603,Torino FC,Afriyie Acquah,26.0,Central Midfield,Empoli,€1.00m,out,Summer,1.0,Serie A,2018,2018/2019
2,13,Antonio Adán,GK,Betis,14,1.0,1.0,0.0,1.0,0.0,11.0,2.0,30.0,868.0,125.0,444.0,298.0,69.1,100.0,96.1,44.9,2,0.7,4.0,8.0,0.0,0.0,0.0,5.0,2.0,0.0,,0.0,1327.0,5.0,100.0,0.0,6.0,0.0,0.0,0,0.0,1,3.0,0.0,0.0,41.0,80.0,14008,Real Betis Balompié,Antonio Adán,31.0,Goalkeeper,Atlético Madrid,€1.50m,out,Summer,1.5,Primera Division,2018,2018/2019
3,18,Yacine Adli,FW,Paris S-G,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,7.0,4.0,1.0,2.0,100.0,100.0,100.0,100.0,0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,7.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,14618,Paris Saint-Germain,Yacine Adli,18.0,Attacking Midfield,G. Bordeaux,€5.50m,out,Winter,5.5,Ligue 1,2018,2018/2019
4,23,Benik Afobe,FW,Bournemouth,24,4.0,1.0,3.0,4.0,0.0,6.0,0.0,6.8,113.0,77.0,27.0,0.0,73.4,75.5,71.1,0.0,0,0.1,2.0,8.0,2.0,0.0,9.0,11.0,1.0,8.0,37.5,1.6,219.0,9.0,77.8,12.0,28.0,5.0,37.0,0,0.0,9,13.0,1.0,0.0,17.0,36.7,20410,AFC Bournemouth,Benik Afobe,25.0,Centre-Forward,Wolves,€11.40m,out,Summer,11.4,Premier League,2018,2018/2019
5,23,Benik Afobe,FW,Bournemouth,24,4.0,1.0,3.0,4.0,0.0,6.0,0.0,6.8,113.0,77.0,27.0,0.0,73.4,75.5,71.1,0.0,0,0.1,2.0,8.0,2.0,0.0,9.0,11.0,1.0,8.0,37.5,1.6,219.0,9.0,77.8,12.0,28.0,5.0,37.0,0,0.0,9,13.0,1.0,0.0,17.0,36.7,20834,Wolverhampton Wanderers,Benik Afobe,25.0,Centre-Forward,Stoke City,€13.50m,out,Winter,13.5,Premier League,2018,2018/2019
6,29,Jean-Eudes Aholou,MF,Strasbourg,30,70.0,17.0,34.0,29.0,75.0,58.0,1.0,33.4,1162.0,495.0,473.0,146.0,85.5,89.2,89.9,74.5,0,1.0,13.0,101.0,5.0,0.0,131.0,42.0,6.0,39.0,17.9,2.2,1694.0,50.0,78.0,32.0,38.0,27.0,22.0,5,0.15,46,49.0,0.0,0.0,261.0,50.5,14478,RC Strasbourg Alsace,Jean-Eudes Aholou,24.0,Defensive Midfield,Monaco,€14.00m,out,Summer,14.0,Ligue 1,2018,2018/2019
7,37,Kevin Akpoguma,DF,Hoffenheim,38,47.0,24.0,39.0,18.0,22.0,60.0,1.0,18.8,876.0,370.0,434.0,60.0,85.8,92.3,92.3,47.2,1,1.4,7.0,69.0,4.0,1.0,85.0,15.0,1.0,5.0,40.0,0.2,1190.0,14.0,71.4,23.0,11.0,5.0,8.0,0,0.0,22,17.0,0.0,1.0,91.0,56.3,11658,TSG 1899 Hoffenheim,Kevin Akpoguma,23.0,Centre-Back,Hannover 96,Loan fee:€220Th.,out,Winter,0.22,1 Bundesliga,2018,2018/2019
8,47,Paco Alcácer,"MF,FW",Barcelona,48,4.0,0.0,3.0,5.0,11.0,3.0,0.0,7.7,188.0,116.0,46.0,5.0,80.3,86.6,82.1,45.5,3,2.1,10.0,7.0,8.0,1.0,13.0,15.0,5.0,15.0,46.7,3.9,297.0,10.0,30.0,6.0,16.0,7.0,42.0,4,0.52,2,9.0,0.0,0.0,28.0,29.2,13831,FC Barcelona,Paco Alcácer,24.0,Centre-Forward,Bor. Dortmund,Loan fee:€2.00m,out,Summer,2.0,Primera Division,2018,2018/2019
9,54,Iván Alejo,"MF,FW",Eibar,55,20.0,1.0,16.0,9.0,5.0,1.0,0.0,12.2,182.0,111.0,54.0,15.0,53.5,73.5,54.5,28.8,3,2.1,17.0,11.0,26.0,19.0,20.0,31.0,3.0,13.0,23.1,0.5,500.0,72.0,45.8,71.0,46.0,18.0,125.0,1,0.08,25,45.0,0.0,0.0,67.0,43.5,14086,SD Eibar,Iván Alejo,23.0,Right Winger,Getafe,€4.00m,out,Summer,4.0,Primera Division,2018,2018/2019
