,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
0,1,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21,2000,32.0,64,44,49,15,0,37,55,67.3,18,39,19,20,28,92,96,1,Matches
1,2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33,1987,33.1,48,27,34,14,0,16,32,50.0,16,50,25,25,68,116,104,0,Matches
2,3,Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,21,2000,27.4,43,23,25,16,2,20,57,35.1,37,18,1,17,42,85,15,0,Matches
3,4,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,28,1993,32.8,110,60,44,53,13,71,166,42.8,95,58,1,57,55,165,13,0,Matches
4,5,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,21,2000,0.5,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,0,0,Matches
5,6,Dickson Abiama,ng NGA,FW,Greuther Fürth,de Bundesliga,22,1998,8.1,11,7,4,5,2,2,10,20.0,8,12,1,11,4,15,8,0,Matches
6,7,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,18,2003,1.1,0,0,0,0,0,0,0,,0,2,0,2,0,0,1,0,Matches
7,8,Tammy Abraham,eng ENG,FW,Roma,it Serie A,23,1997,34.3,27,13,7,14,6,9,22,40.9,13,17,3,14,5,32,27,0,Matches
8,9,Luis Abram,pe PER,DF,Granada,es La Liga,25,1996,6.2,6,3,3,3,0,2,4,50.0,2,6,5,1,5,11,37,1,Matches
9,10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33,1988,28.2,25,12,15,9,1,12,19,63.2,7,37,28,9,34,59,92,0,Matches
10,11,Ragnar Ache,de GER,"MF,FW",Eint Frankfurt,de Bundesliga,23,1998,2.9,2,0,0,1,1,1,4,25.0,3,3,0,3,0,2,1,0,Matches
11,12,Mohamed Achi,fr FRA,MF,Nantes,fr Ligue 1,19,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
12,13,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,29,1991,25.1,50,29,27,14,9,30,46,65.2,16,22,5,17,14,64,25,1,Matches
13,14,Che Adams,sct SCO,FW,Southampton,eng Premier League,25,1996,22.7,13,6,5,5,3,2,16,12.5,14,18,2,16,8,21,18,0,Matches
14,15,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,22,1999,15.0,23,7,5,16,2,7,25,28.0,18,24,1,23,16,39,19,2,Matches
15,16,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,28,1993,3.7,8,6,3,4,1,3,11,27.3,8,4,0,4,1,9,2,0,Matches
16,17,Martin Adeline,fr FRA,"MF,FW",Reims,fr Ligue 1,17,2003,3.9,15,11,5,8,2,8,16,50.0,8,0,0,0,11,26,6,0,Matches
17,18,Amine Adli,ma MAR,"FW,MF",Leverkusen,de Bundesliga,21,2000,14.0,27,14,10,14,3,8,15,53.3,7,26,2,24,11,38,12,0,Matches
18,19,Yacine Adli,fr FRA,"MF,FW",Bordeaux,fr Ligue 1,21,2000,25.1,43,27,22,14,7,19,68,27.9,49,33,3,30,37,80,11,2,Matches
19,20,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,24,1997,4.9,14,5,5,8,1,6,11,54.5,5,4,1,3,6,20,3,0,Matches
20,21,Felix Afena-Gyan,gh GHA,"FW,MF",Roma,it Serie A,18,2003,7.4,10,3,1,6,3,4,7,57.1,3,4,0,4,3,13,0,0,Matches
21,22,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,25,1996,18.0,34,22,17,11,6,18,37,48.6,19,20,3,17,25,59,38,0,Matches
22,23,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,20,2000,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
23,24,Lucien Agoume,fr FRA,MF,Brest,fr Ligue 1,19,2002,20.8,51,31,24,20,7,23,45,51.1,22,30,9,21,52,103,27,1,Matches
24,25,Kevin Agudelo,co COL,"MF,FW",Spezia,it Serie A,22,1998,13.7,44,26,13,26,5,7,20,35.0,13,22,0,22,8,52,6,0,Matches
25,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
26,26,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,25,1996,30.4,27,18,16,11,0,14,24,58.3,10,24,14,10,24,51,127,1,Matches
27,27,Sergio Agüero,ar ARG,FW,Barcelona,es La Liga,33,1988,1.7,1,1,0,0,1,0,2,0.0,2,0,0,0,0,1,0,0,Matches
28,28,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,28,1993,23.8,78,53,39,32,7,43,68,63.2,25,19,4,15,44,122,57,0,Matches
29,29,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,es La Liga,21,2000,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
30,30,Naouirou Ahamada,fr FRA,"MF,DF",Stuttgart,de Bundesliga,19,2002,0.7,1,0,1,0,0,1,3,33.3,2,0,0,0,0,1,0,0,Matches
31,31,Anel Ahmedhodžić,ba BIH,DF,Bordeaux,fr Ligue 1,22,1999,15.0,38,26,27,9,2,20,31,64.5,11,16,8,8,22,60,44,0,Matches
32,32,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,27,1994,11.2,16,9,4,9,3,5,19,26.3,14,8,1,7,19,35,7,0,Matches
33,33,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,25,1995,29.3,39,26,28,10,1,17,31,54.8,14,23,13,10,38,77,96,3,Matches
34,34,Ola Aina,ng NGA,DF,Torino,it Serie A,24,1996,16.0,27,19,11,10,6,15,23,65.2,8,17,3,14,28,55,30,0,Matches
35,35,Rayan Aït Nouri,dz ALG,"DF,MF",Wolves,eng Premier League,20,2001,20.3,64,36,46,15,3,22,44,50.0,22,24,2,22,22,86,39,1,Matches
36,36,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,23,1998,22.2,29,18,21,6,2,13,21,61.9,8,19,11,8,26,55,74,0,Matches
37,37,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,27,1994,30.4,36,25,5,19,12,7,40,17.5,33,28,3,25,8,44,31,1,Matches
38,38,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,26,1995,25.1,33,23,20,11,2,22,32,68.8,10,26,15,11,35,68,58,0,Matches
39,39,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,28,1993,20.5,43,31,26,15,2,21,37,56.8,16,26,7,19,51,94,61,0,Matches
40,40,Marley Aké,fr FRA,"FW,MF",Juventus,it Serie A,20,2001,0.9,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,0,0,Matches
41,41,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,26,1995,10.3,16,9,7,8,1,6,8,75.0,2,7,5,2,8,24,23,0,Matches
42,42,Ilias Akhomach,es ESP,FW,Barcelona,es La Liga,17,2004,1.4,2,0,0,1,1,0,0,,0,0,0,0,0,2,0,0,Matches
43,43,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,fr Ligue 1,19,2002,0.6,2,0,0,2,0,0,1,0.0,1,2,0,2,0,2,0,0,Matches
44,44,Paul Akouokou,ci CIV,MF,Betis,es La Liga,23,1997,5.7,14,9,5,7,2,8,12,66.7,4,6,0,6,11,25,6,0,Matches
45,45,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,it Serie A,28,1992,3.5,17,10,7,9,1,7,12,58.3,5,4,2,2,2,19,6,0,Matches
46,46,Kevin Akpoguma,ng NGA,"DF,FW",Hoffenheim,de Bundesliga,26,1995,17.0,33,19,16,11,6,16,28,57.1,12,32,2,30,20,53,29,2,Matches
47,47,David Alaba,at AUT,DF,Real Madrid,es La Liga,29,1992,29.4,23,13,15,6,2,9,19,47.4,10,26,15,11,22,45,70,1,Matches
48,48,Sofiane Alakouch,ma MAR,"DF,MF",Metz,fr Ligue 1,23,1998,1.8,7,4,3,4,0,2,5,40.0,3,4,0,4,1,8,4,0,Matches
49,49,Tomás Alarcón,cl CHI,MF,Cádiz,es La Liga,22,1999,15.8,31,20,17,10,4,10,31,32.3,21,19,7,12,30,61,31,0,Matches
50,50,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,28,1992,7.3,6,5,0,2,4,2,5,40.0,3,5,0,5,1,7,6,0,Matches
51,Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
52,51,Jordi Alba,es ESP,DF,Barcelona,es La Liga,32,1989,29.4,47,34,12,26,9,27,47,57.4,20,26,6,20,33,80,41,1,Matches
53,52,Josué Albert,fr FRA,DF,Clermont Foot,fr Ligue 1,29,1992,0.2,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,Matches
54,53,Luis Alberto,es ESP,MF,Lazio,it Serie A,28,1992,26.1,29,17,8,11,10,8,52,15.4,44,32,4,28,13,42,7,0,Matches
55,54,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,35,1985,27.4,26,15,20,5,1,14,18,77.8,4,24,15,9,21,47,126,1,Matches
56,55,Marc Albrighton,eng ENG,"FW,DF",Leicester City,eng Premier League,31,1989,12.6,31,19,16,9,6,10,47,21.3,37,15,3,12,14,45,20,0,Matches
57,56,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,27,1993,8.7,9,3,2,4,3,1,5,20.0,4,7,0,7,6,15,1,0,Matches
58,57,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,30,1991,17.0,48,29,14,24,10,10,42,23.8,32,22,2,20,26,74,13,2,Matches
59,58,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,30,1991,12.3,41,20,14,24,3,22,45,48.9,23,10,2,8,13,54,14,0,Matches
60,59,Omar Alderete,py PAR,DF,Valencia,es La Liga,24,1996,26.7,53,34,34,17,2,34,53,64.2,19,30,18,12,35,88,153,0,Matches
61,60,Iván Alejo,es ESP,"MF,FW",Cádiz,es La Liga,26,1995,11.8,33,15,21,10,2,15,44,34.1,29,12,0,12,8,41,17,0,Matches
62,61,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,18,2002,12.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,9,1,Matches
63,62,Carles Aleñá,es ESP,MF,Getafe,es La Liga,23,1998,25.8,27,19,11,13,3,9,48,18.8,39,21,2,19,15,42,16,0,Matches
64,63,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,22,1998,31.7,40,23,19,13,8,27,60,45.0,33,22,4,18,43,83,40,0,Matches
65,64,Mohamed Ali Cho,fr FRA,FW,Angers,fr Ligue 1,17,2004,20.4,10,5,1,4,5,5,17,29.4,12,17,1,16,8,18,0,1,Matches
66,65,Alisson,br BRA,GK,Liverpool,eng Premier League,28,1992,36.0,3,1,3,0,0,3,5,60.0,2,1,0,1,0,3,28,1,Matches
