,Name,Rating
90,Riyad Mahrez,4.977918476867501
65,Gonçalo Guedes,3.940683628337476
23,Rémy Cabella,3.469687191759048
28,Samu Castillejo,3.2115752508684112
106,Radja Nainggolan,3.1527034974421055
34,Bryan Cristante,3.046173671661327
147,Daniel Wass,3.005204381370107
87,Thomas Lemar,2.856585781030214
149,Marius Wolf,2.7664349263588974
79,Naby Keïta,2.724691834145159
45,Cesc Fàbregas,2.618365270345341
17,Valter Birsa,2.440282969591799
44,Fabinho,2.417309738939692
26,Sergio Canales,2.4039712424987845
36,Thomas Delaney,2.327423774035247
102,João Moutinho,2.1671203684090754
83,Geoffrey Kondogbia,2.1222342691165164
59,Ibai Gómez,2.055062635245012
140,Adrien Thomasson,2.013787898229626
142,Lucas Torreira,1.9652574622161025
82,Felix Klaus,1.8360466114930758
71,Takashi Inui,1.7698701113069881
115,Paulinho,1.7690121025482775
20,Kevin-Prince Boateng,1.7078762292800764
146,Federico Viviani,1.6557805375680705
74,Jorginho,1.6519722521889484
25,Emre Can,1.6456008269069478
89,Giovani Lo Celso,1.5825904133281594
30,Lucas Castro,1.5824467030647922
122,Wayne Rooney,1.5811585857773705
52,Gabriel,1.5046702389318116
145,Arturo Vidal,1.4532562836633725
120,Rodri,1.4416744642346013
7,Milan Badelj,1.4131281062365377
114,Javier Pastore,1.4098750271330447
48,Julien Féret,1.3976676954746483
76,Florian Kainz,1.3193436455147851
61,Leon Goretzka,1.1363069173023927
46,Fayçal Fajr,1.1152779447144563
70,Andrés Iniesta,1.101419061065014
67,Pablo Hernández,1.0947066777280008
101,Simone Missiroli,1.0223149430462615
1,Jean-Eudes Aholou,0.9511741811330645
8,Tiemoué Bakayoko,0.943898886569958
119,Tomás Rincón,0.9177620188571183
93,Rolando Mandragora,0.884822037523957
35,Sergi Darder,0.8584361888512352
84,Cheikhou Kouyaté,0.7625259179956061
63,Clément Grenier,0.7438024989998262
22,Yohan Cabaye,0.6649316824992372
136,Kevin Strootman,0.6553785124365954
18,Yves Bissouma,0.4942484516981901
108,Steven Nzonzi,0.4762915503805144
111,Fabián Orellana,0.4622944681333419
3,Iván Alejo,0.4205768505864582
40,Mustapha Diallo,0.39813047124025186
123,Sebastian Rudy,0.38270538140856114
