,Name,Rating
65,Lionel Messi,14.695356653837987
60,Romelu Lukaku,7.99805228875187
85,Cristiano Ronaldo,6.986915371909596
90,André Silva,6.963075768332387
55,Gaëtan Laborde,6.690001454150456
26,Andy Delort,6.501214454835189
108,Wout Weghorst,6.372251383147502
42,Jack Grealish,6.028983546255368
86,Jadon Sancho,5.906932910332301
100,Florian Thauvin,5.729882836440058
43,Antoine Griezmann,5.381911789373768
11,Musa Barrow,5.169355827689322
9,Leon Bailey,5.013217668641865
105,Dušan Vlahović,4.117503391793714
78,Matteo Politano,3.7878702004631783
44,Danny Ings,3.6251300795472527
25,Matheus Cunha,3.5087273647290647
84,James Rodríguez,3.4585569872604722
17,Josip Brekalo,3.3531379055754202
72,Rodrigo Palacio,3.3491950727589037
29,Boulaye Dia,3.100131808551474
110,Chris Wood,2.998749619513397
16,Lucas Boyé,2.9395905539623195
64,Borja Mayoral,2.868833058705876
66,Rafa Mir,2.852881567514262
53,Max Kruse,2.778698212779376
24,Joaquín Correa,2.7667917684579724
87,Pablo Sarabia,2.7365413788579436
6,Pierre-Emerick Aubameyang,2.7219136112257063
18,Ante Budimir,2.403843369239118
49,Kenedy,2.153528791190826
89,Eldor Shomurodov,2.127023223311065
109,Willian,1.907795165087547
91,Giovanni Simeone,1.7693957807356777
75,Lucas Pérez,1.6162390362607697
22,Jhon Córdoba,1.613672764567385
10,Keita Baldé,1.61143512133662
80,Robin Quaison,1.526758814128486
79,Nicolas de Préville,1.4474021745764876
15,Darío Benedetto,1.3912391961241495
23,Andreas Cornelius,1.3444851711016041
93,Andreas Skov Olsen,1.2355011603153878
95,Roberto Soldado,1.2341179184896138
7,Taiwo Awoniyi,1.2142645807301564
20,Felipe Caicedo,1.1269593117059329
82,Marco Richter,1.0787603632676888
0,Tammy Abraham,1.0768823373551029
2,Kevin Agudelo,1.0423167490024294
47,Samuel Kalu,1.0087608038758504
40,Nicolás González,0.9376899714631215
70,Stefano Okaka,0.8808612865770531
62,Myziane Maolida,0.8110350014688825
101,Francisco Trincão,0.767056840704856
1,Sargis Adamyan,0.6296043428715984
106,Andreas Voglsammer,0.6182274284464039
46,Daniel James,0.6100571238780257
33,Kévin Gameiro,0.55952822708727
8,Carlos Bacca,0.513812294511287
83,Ángel Rodríguez,0.43782162625103754
77,Roberto Piccoli,0.3965154504079489
38,Olivier Giroud,0.35760818348006906
50,Saîf-Eddine Khaoui,0.3232952169943919
3,Sergio Agüero,0.29644205807538127
57,Kevin Lasagna,0.2859614150952653
19,Marius Bülter,0.21517400023451352
12,Michy Batshuayi,0.2004561873099206
52,Christian Kouamé,0.16355586489490748
31,Andrey Galabinov,0.1587993888553174
35,Valère Germain,0.15655546897990802
45,Alireza Jahanbakhsh,0.10927257770864719
74,Andreas Pereira,0.058168477958009834
111,Kévin Zohi,0.024631352007533414
76,Jens Petter Hauge,0.0020060421880372936
4,Thierry Ambrose,-0.04338543202007772
32,Enric Gallego,-0.08652364765005521
58,Mathew Leckie,-0.17061098054210183
88,Sven Schipplock,-0.20651684510336632
67,Vedat Muriqi,-0.2675073716267358
102,Cengiz Ünder,-0.2697493863690634
97,Ádám Szalai,-0.3154663830222844
59,Sergio León,-0.3278887079837154
96,Cebio Soukou,-0.33952703130470613
56,Sam Lammers,-0.3524873652631777
28,Samuel Di Carmine,-0.37270754012839236
14,Ishak Belfodil,-0.3901028340443367
103,Franco Vázquez,-0.5623277230076178
63,Jean-Philippe Mateta,-0.5892503907839803
68,M'Baye Niang,-0.6829529356601904
39,Akaki Gogia,-0.6867871816095301
54,Antonino La Gumina,-0.7249501155702571
71,Henry Onyekuru,-0.7306586114082663
73,Pietro Pellegri,-0.7486437543965092
5,Felipe Anderson,
13,Maximilian Beier,
21,Francesco Caputo,
27,Kiril Despodov,
30,Renaud Emond,
34,Emrehan Gedikli,
36,Hamadi Al Ghaddioui,
37,Bryan Gil,
41,Demarai Gray,
48,Moise Kean,
51,Kenan Kodro,
61,Hicham Mahou,
69,Michael Obafemi,
81,Federico Ricci,
92,Jóan Símun Edmundsson,
94,Islam Slimani,
98,Percy Tau,
99,Heriberto Tavares,
104,Edoardo Vergani,
107,Theo Walcott,
