,Name,Rating
23,Jonathan Clauss,4.702515906950234
97,David Raum,4.554969401588905
74,Pablo Maffeo,3.618656234579045
84,Nahuel Molina,2.82483002049125
133,Akim Zedadka,2.728005877576874
83,Johan Mojica,2.6443318341408033
2,Marcos Alonso,2.509832334575138
106,Antonio Rüdiger,2.4990937880947364
125,Destiny Udogie,2.0952452342810903
111,Nico Schlotterbeck,1.9993514329126336
53,Aaron Hickey,1.9444412119378562
91,Mathías Olivera,1.7873882663179277
85,Nordi Mukiele,1.7044607997307506
16,Anthony Caci,1.5923329172593688
25,Marc Cucurella,1.5602423790480417
78,Konstantinos Mavropanos,1.5205893089282447
68,Jules Koundé,1.361628282937347
0,Nayef Aguerd,1.3366288590061115
36,Emerson,1.3158209147234134
15,Jimmy Cabot,1.3027707303738691
18,Diego Carlos,1.2700362378809213
80,Houboulang Mendes,1.2297132530410355
66,Ghislain Konan,1.2026912598755175
10,Giulian Biancone,1.1911080064424708
38,Wout Faes,1.0515639082875998
101,Mihailo Ristić,0.9965441420094356
107,Romain Saïss,0.9676353950918505
3,Dani Alves,0.9479811152228452
27,Ben Davies,0.8797216669090755
67,Kalidou Koulibaly,0.8730605151796178
93,Lucas Perrin,0.7778642573760325
92,Mathias Pereira Lage,0.7678372091607519
46,Matthias Ginter,0.7643322870953038
134,Oleksandr Zinchenko,0.7309564603655614
90,Brian Oliván,0.7305656480061392
70,Matthijs de Ligt,0.714163172617774
109,Manu Sánchez,0.6601606437048201
132,Maya Yoshida,0.545474869229069
71,Renan Lodi,0.5198180059301204
9,Héctor Bellerín,0.5048158492054425
37,Pervis Estupiñán,0.4989339881001366
13,Sven Botman,0.4808692885251175
124,Ismaël Traoré,0.4607197132573511
39,Luiz Felipe,0.3684911110597293
118,Niklas Süle,0.36324895409758695
122,Romain Thomas,0.3612235247081277
115,Niklas Stark,0.34027071034703005
98,Arkadiusz Reca,0.31908082389808545
29,Merih Demiral,0.31523344514390367
121,Arthur Theate,0.30425308134534723
108,Junior Sambia,0.2742823613205378
14,Dedryck Boyata,0.26381057558124865
54,Martin Hinteregger,0.2179073183476404
41,Alessandro Florenzi,0.1598588504866862
19,Nicolò Casale,0.09318646077812678
130,Christopher Wooh,0.0721544587650394
8,Marc Bartra,0.043998266999744705
64,Luca Kilian,-0.028352603742531485
73,Sebastiano Luperto,-0.03504362605376869
105,Cristian Romero,-0.03689704730717079
103,Alessio Romagnoli,-0.05007046196252313
120,Matt Targett,-0.07124684722013856
5,Ludwig Augustinsson,-0.1266881459539511
82,Óscar Mingueza,-0.19508120344165142
89,Bastian Oczipka,-0.20434994420595562
30,Abdou Diallo,-0.2081724103236972
1,Manuel Akanji,-0.21950706756149788
99,Chris Richards,-0.21974275135584517
4,Cristian Ansaldi,-0.2303991255738213
104,Simone Romagnoli,-0.24323564398812222
51,Varazdat Haroyan,-0.2452642618673007
79,Kevin Mbabu,-0.27046185709474746
61,Thilo Kehrer,-0.349943247644216
77,Marcelo,-0.39275967493176367
88,Tanguy Nianzou,-0.481026541922966
113,Djibril Sidibé,-0.5093409307294496
114,Brandon Soppy,-0.5435702893349991
42,Wesley Fofana,-0.5675528837285153
21,Andreas Christensen,-0.5685963680927321
94,Léo Pétrot,-0.5807963131737041
35,Kingsley Ehizibue,-0.6097018504414622
20,Giorgio Chiellini,-0.6239343726952544
116,Stefan Strandberg,-0.7118737730924507
22,Víctor Chust,-0.7295514243816942
52,Dominique Heintz,-0.7467553398776035
69,Maxim Leitsch,-0.7490943891039327
59,Ozan Kabak,-0.783492938038487
127,Mattia Viti,-0.7878851970682734
76,Vincent Manceau,-0.8272418113525176
34,Enzo Ebosse,-0.868556782622039
11,Jean-Claude Billong,-0.9150517104308549
63,Jonjoe Kenny,-0.9223134674253187
55,Jannes Horn,-0.9326096311005432
60,Wajdi Kechrida,-0.9371794313987015
26,Flavius Daniliuc,-0.9413489206112442
12,Willy Boly,-0.9429262722004433
117,Jens Stryger Larsen,-1.025185511239579
100,Omar Richards,-1.0561229913629646
119,Bosko Sutalo,-1.084979453824816
44,Mario Gaspar,-1.10702451066221
24,Danny da Costa,-1.2140938327207067
123,Jordan Torunarigha,-1.216946239829621
102,Kévin Rodrigues,-1.271683370824326
57,Stefan Ilsanker,-1.2936939417760283
75,Kévin Malcuit,-1.330671341627742
72,Matteo Lovato,-1.4519592866790036
32,Erik Durm,-1.5478116410820149
48,Álvaro González,-1.5906167792622894
62,Kenedy,-1.6397581987483965
49,Lasse Günther,-1.6755488338892777
17,Riccardo Calafiori,-1.7673681458332586
95,Jonás Ramalho,-1.7732258825858267
6,Eric Bailly,
7,Danilo Barbosa,
28,Saulo Decarli,
31,Issa Diop,
33,Hugo Duro,
40,Federico Fernández,
43,Ryan Fredericks,
45,Morgan Gibbs-White,
47,Jimmy Giraudon,
50,Miguel Gutiérrez,
56,Cédric Hountondji,
58,Josema,
65,Lukas Klünter,
81,Matt Miazga,
86,Matija Nastasić,
87,David Nemeth,
96,Andrea Ranocchia,
110,Malang Sarr,
112,Aleksandar Sedlar,
126,Denis Vavro,
128,Daniel Wass,
129,Neco Williams,
131,Joscha Wosz,
