,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
12160,ADO Den Haag,Björn Johnsen,26.0,Centre-Forward,AZ Alkmaar,€2.30m,out,Summer,2.3,Eredivisie,2018,2018/2019
12161,ADO Den Haag,Édouard Duplan,35.0,Left Winger,Sparta R.,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12162,ADO Den Haag,Tyronne Ebuehi,22.0,Right-Back,Benfica,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12163,ADO Den Haag,Tim Coremans,27.0,Goalkeeper,Sparta R.,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12182,AZ Alkmaar,Alireza Jahanbakhsh,24.0,Right Winger,Brighton,€19.00m,out,Summer,19.0,Eredivisie,2018,2018/2019
12183,AZ Alkmaar,Wout Weghorst,25.0,Centre-Forward,VfL Wolfsburg,€10.50m,out,Summer,10.5,Eredivisie,2018,2018/2019
12184,AZ Alkmaar,Joris van Overeem,24.0,Central Midfield,FC Utrecht,€700Th.,out,Summer,0.7,Eredivisie,2018,2018/2019
12185,AZ Alkmaar,Dabney dos Santos,22.0,Attacking Midfield,Heracles Almelo,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12186,AZ Alkmaar,Jop van der Linden,28.0,Centre-Back,Sydney FC,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12187,AZ Alkmaar,Levi García,20.0,Right Winger,Kiryat Shmona,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12188,AZ Alkmaar,Rens van Eijden,30.0,Centre-Back,NEC Nijmegen,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12189,AZ Alkmaar,Gino Coutinho,35.0,Goalkeeper,NEC Nijmegen,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12199,Ajax Amsterdam,Justin Kluivert,19.0,Left Winger,AS Roma,€17.25m,out,Summer,17.25,Eredivisie,2018,2018/2019
12200,Ajax Amsterdam,Deyovaisio Zeefuik,20.0,Right-Back,FC Groningen,€300Th.,out,Summer,0.3,Eredivisie,2018,2018/2019
12201,Ajax Amsterdam,Amin Younes,24.0,Attacking Midfield,SSC Napoli,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12202,Ajax Amsterdam,Nick Viergever,28.0,Centre-Back,PSV Eindhoven,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12203,Ajax Amsterdam,Mitchell Dijks,25.0,Left-Back,Bologna,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12204,Ajax Amsterdam,Norbert Alblas,23.0,Goalkeeper,NEC Nijmegen,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12224,De Graafschap Doetinchem,Mark Diemers,24.0,Central Midfield,Fortuna Sittard,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12225,De Graafschap Doetinchem,Kevin van Diermen,29.0,Centre-Back,IJsselm.vogels,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12226,De Graafschap Doetinchem,Tim Receveur,26.0,Defensive Midfield,Almere City,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12227,De Graafschap Doetinchem,Filip Bednarek,25.0,Goalkeeper,Heerenveen,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12253,FC Emmen,Willem Huizing,23.0,Right-Back,Harkemase Boys,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12254,FC Emmen,Josimar Lima,28.0,Centre-Back,FC Lahti,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12255,FC Emmen,Jeroen Veldmate,29.0,Centre-Back,Go Ahead Eagles,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12256,FC Emmen,Omran Haydary,20.0,Right Winger,FC Dordrecht,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12257,FC Emmen,Youri Loen,27.0,Central Midfield,Almere City,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12258,FC Emmen,Mario Bilate,27.0,Centre-Forward,RKC Waalwijk,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12259,FC Emmen,Joris Voest,23.0,Left-Back,Harkemase Boys,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12260,FC Emmen,Nande Wielink,20.0,Centre-Back,ACV Assen,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12261,FC Emmen,Norair Aslanyan,27.0,Right Winger,Katwijk,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12276,Excelsior Rotterdam,Mike van Duinen,26.0,Centre-Forward,PEC Zwolle,€750Th.,out,Summer,0.75,Eredivisie,2018,2018/2019
12277,Excelsior Rotterdam,Stanley Elbers,26.0,Right Winger,PEC Zwolle,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12278,Excelsior Rotterdam,Ögmundur Kristinsson,29.0,Goalkeeper,AE Larisa,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12279,Excelsior Rotterdam,Khalid Karami,28.0,Right Midfield,Vitesse,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12280,Excelsior Rotterdam,Theo Zwarthoed,35.0,Goalkeeper,NAC Breda,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12281,Excelsior Rotterdam,Milan Massop,24.0,Left-Back,Waasl.-Beveren,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12282,Excelsior Rotterdam,Hicham Faik,26.0,Defensive Midfield,Zulte Waregem,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12283,Excelsior Rotterdam,Shane O'Neill,24.0,Centre-Back,Orlando,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12284,Excelsior Rotterdam,Kevin Vermeulen,27.0,Attacking Midfield,RKC Waalwijk,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12285,Excelsior Rotterdam,Mike Havekotte,22.0,Goalkeeper,ADO Den Haag,free transfer,out,Summer,0.0,Eredivisie,2018,2018/2019
12304,Feyenoord Rotterdam,Jean-Paul Boëtius,24.0,Attacking Midfield,1.FSV Mainz 05,€3.50m,out,Summer,3.5,Eredivisie,2018,2018/2019
12305,Feyenoord Rotterdam,Sofyan Amrabat,22.0,Defensive Midfield,Club Brugge,€2.50m,out,Summer,2.5,Eredivisie,2018,2018/2019
12306,Feyenoord Rotterdam,Marko Vejinović,28.0,Central Midfield,AZ Alkmaar,€1.25m,out,Summer,1.25,Eredivisie,2018,2018/2019
12307,Feyenoord Rotterdam,Simon Gustafson,23.0,Central Midfield,FC Utrecht,€1.00m,out,Summer,1.0,Eredivisie,2018,2018/2019
12308,Feyenoord Rotterdam,Bilal Basacikoglu,23.0,Left Winger,Kayserispor,€400Th.,out,Summer,0.4,Eredivisie,2018,2018/2019
12309,Feyenoord Rotterdam,Gustavo Hamer,21.0,Defensive Midfield,PEC Zwolle,€300Th.,out,Summer,0.3,Eredivisie,2018,2018/2019
