,Name,position,market_value_in_eur,age in days,contract expiry,Rating
0,Salis Abdul Samed,3,18000000.0,8358,1956,2.9458490006986917
1,Laurent Abergel,3,3000000.0,10968,1226,2.9721614464322417
2,Tyler Adams,3,18000000.0,8765,1956,2.6337669293721357
3,Naouirou Ahamada,3,8000000.0,7625,1226,1.8131000340666297
4,Jean-Eudes Aholou,3,2000000.0,10554,496,3.9608980871741055
5,Paul Akouokou,3,2500000.0,9189,1591,2.02449292852916
6,Luis Alberto,3,18000000.0,11096,1591,6.076538732305398
7,Rubén Alcaraz,3,2000000.0,11608,861,2.5294586749010417
8,Iván Alejo,3,1500000.0,10229,861,2.6448601089889494
9,Carles Aleñá,3,3000000.0,9169,1226,2.273274047923078
10,Nadiem Amiri,3,4000000.0,9607,1226,3.6929920217217886
11,Sofyan Amrabat,3,28000000.0,9673,496,2.919311018896977
12,Benjamin André,3,8000000.0,11881,1226,4.881780278566211
13,Robert Andrich,3,11000000.0,10372,1226,3.3596434900814147
14,Marcos Antônio,3,7000000.0,8281,496,2.3937503002280383
15,Mauro Arambarri,3,6000000.0,9999,1956,1.8124745183838544
16,Maximilian Arnold,3,10000000.0,10487,1226,3.7142593555424206
17,Kristjan Asllani,3,14000000.0,7645,1591,1.7413707146422044
18,Iddrisu Baba,3,2500000.0,9882,496,1.3294815775225763
19,Stefan Bajcetic,3,11000000.0,6692,1591,2.589439829166105
20,Carlos Baleba,3,20000000.0,6981,1956,3.6691407962537568
21,Shandon Baptiste,3,2500000.0,9076,496,3.0329313408463903
22,Nicolò Barella,3,75000000.0,9502,1226,5.418133100306508
23,Ross Barkley,3,7000000.0,10664,0,5.124441904416054
24,Ander Barrenetxea,3,20000000.0,7722,2686,5.785323915353173
25,Pablo Barrios,3,25000000.0,7184,1956,3.7502029579936007
26,Simone Bastoni,3,2000000.0,9599,496,3.4588910927690844
27,Alexis Beka Beka,3,3000000.0,7990,1591,3.17328713270776
28,Jean-Ricner Bellegarde,3,15000000.0,8997,1956,5.470574324239946
29,Jude Bellingham,3,180000000.0,7170,2321,7.90500914115406
30,Fran Beltrán,3,6000000.0,8776,1226,2.603465685586423
31,Ismaël Bennacer,3,35000000.0,9208,1591,3.835560702061191
32,Nabil Bentaleb,3,8000000.0,10310,1226,4.9831789718916735
33,Rodrigo Bentancur,3,35000000.0,9364,1226,4.44117272802437
34,Philip Billing,3,22000000.0,9743,1591,4.694928852935513
35,Yves Bissouma,3,30000000.0,9664,1226,2.0984066088560405
36,Leonardo Bittencourt,3,2500000.0,10650,0,4.017640456931981
37,Alexis Blin,3,2500000.0,9648,861,3.2214109618735987
38,Emil Bohinen,3,3200000.0,8737,496,3.130358157875924
39,Giacomo Bonaventura,3,3000000.0,12227,496,4.646321064960607
40,Hicham Boudaoui,3,9000000.0,8546,1591,4.572529799786
41,Mehdi Bourabia,3,1000000.0,11512,496,3.210814197375637
42,Benjamin Bourigeaud,3,18000000.0,10620,1226,6.456538513289425
43,Edoardo Bove,3,15000000.0,7578,1956,2.563781800258448
44,Moisés Caicedo,3,90000000.0,7777,3051,4.063339011372
45,Jens Cajuste,3,10000000.0,8589,1956,4.907977031779964
46,Hakan Çalhanoğlu,3,40000000.0,10596,1591,4.699851097722603
47,Mohamed Camara,3,25000000.0,8438,1591,2.323533986311137
48,Eduardo Camavinga,3,90000000.0,7404,2321,4.17952741932438
49,Emre Can,3,12000000.0,10622,1226,3.0840915489577903
50,Étienne Capoue,3,2000000.0,12633,496,3.541520232702672
51,Maxence Caqueret,3,18000000.0,8399,1591,6.116469416367564
52,William Carvalho,3,6000000.0,11267,1226,3.825365760391782
53,Casemiro,3,30000000.0,11311,1226,5.592740026737921
54,Gaetano Castrovilli,3,8000000.0,9492,496,2.876013663429013
55,Danilo Cataldi,3,8000000.0,10418,1591,1.7420178104467354
56,Dani Ceballos,3,9000000.0,9687,1591,6.143219544959347
57,Franco Cervi,3,2000000.0,10488,1226,4.233236446903495
58,Pedro Chirivella,3,7000000.0,9396,1226,2.4693274229385302
59,Joris Chotard,3,10000000.0,7815,861,2.9471090792254504
60,Tolga Ciğerci,3,700000.0,11281,861,1.952155751269252
61,Pathé Ciss,3,3000000.0,10558,861,3.3729590036428445
62,Santi Comesaña,3,5000000.0,9629,1591,4.293725095374471
63,Lewis Cook,3,10000000.0,9506,861,1.8904955429967416
64,Francis Coquelin,3,2000000.0,11596,496,2.157403135838912
65,Lassana Coulibaly,3,4500000.0,9804,1226,3.58429311946191
